SKU,community,degree,community_label
CRST1130,0,9,Community 1
ME6632L,0,9,Community 1
PIP33-BLK125BPM,0,9,Community 1
JYG37510,4,8,Community 5
UVSVP401,0,8,Community 1
SFPUG09VMT,4,7,Community 5
MESX200LH,5,7,Community 6
ME6632M,0,7,Community 1
ME6632XL,0,7,Community 1
SFPUG111VMT,4,6,Community 5
PIP33-BLK125BPS,0,6,Community 1
3M1292TY,5,6,Community 6
UVS4040,0,5,Community 1
SRESM60V,0,5,Community 1
MESX9667L,4,5,Community 5
AN11840-9,3,5,Community 4
JYR-1521M,2,5,Community 3
PIP42-874,4,5,Community 5
ME9683M,5,5,Community 6
UVSVP400,5,5,Community 6
GIA2005B,4,4,Community 5
SFPUG611VMT,4,4,Community 5
GECS826TL,1,4,Community 2
MOM2700,5,4,Community 6
AN11840-10,3,4,Community 4
AN11840-7,3,3,Community 4
AN11840-8,3,3,Community 4
XS3M7502TY,1,3,Community 2
AE82501,2,3,Community 3
SFGG805PFL,2,3,Community 3
SPS3960HS,3,3,Community 4
SRPEC60X90TY,1,2,Community 2
AN11-250,8,2,Community 9
PIP33-BLK125BPL,0,2,Community 1
SRCRC12,6,2,Community 7
SACFCB02,2,2,Community 3
XS3M501,1,2,Community 2
JYR-2004N,7,2,Community 8
XS3M6003-TY,1,2,Community 2
PIP33-BLK125BPXS,6,2,Community 7
JYR-2004AZ,2,1,Community 3
3M6200,0,1,Community 1
SPS700HS,8,1,Community 9
DUNB127SXL,2,1,Community 3
ME9683S,0,1,Community 1
SRPM60X90,7,1,Community 8
XESB60R,0,1,Community 1
XGNRON,3,1,Community 4
3M501,8,1,Community 9
3m6001PR,9,1,Community 10
XAGRPCFCGIS,2,1,Community 3
XS3M5N11,11,1,Community 12
SFT601,11,1,Community 12
SRCRCL,6,1,Community 7
3M5N11,9,1,Community 10
XSAE82509TY,1,1,Community 2
MESX9378KCTV,1,1,Community 2
AN48-129T7,10,1,Community 11
AN48-129T10,10,1,Community 11
AN16-650T9,6,1,Community 7
PMKN95B,1,1,Community 2
MRSR-1060NJTL,7,1,Community 8
AN37-175T10,3,1,Community 4
